exec_time, invoke_time, access_time, resides_time
413.61, 53.51, 2.22, 420.95
399.95, 50.22, 2.27, 408.95
428.44, 60.81, 2.83, 405.71
397.59, 50.65, 2.19, 407.49
410.05, 57.63, 2.24, 404.23
407.60, 55.96, 2.21, 400.54
401.47, 57.75, 2.31, 402.62
389.69, 45.04, 2.20, 401.58
425.76, 46.39, 2.22, 413.68
409.40, 55.11, 2.31, 401.45
409.41, 61.27, 2.25, 416.81
397.00, 57.07, 2.32, 402.29
415.59, 100.80, 2.28, 446.90
406.84, 48.18, 2.28, 403.81
412.41, 58.06, 2.18, 401.84
425.63, 63.40, 2.64, 406.72
420.55, 60.62, 2.25, 403.57
419.66, 54.22, 2.23, 408.10
413.15, 62.23, 2.43, 407.63
439.67, 54.42, 2.35, 432.79
402.46, 59.33, 2.23, 410.90
432.15, 60.62, 2.39, 419.68
395.11, 50.19, 2.28, 402.38
394.31, 55.61, 2.34, 403.23
402.14, 57.36, 2.35, 410.99
406.62, 55.83, 2.51, 416.49
434.17, 54.30, 2.35, 411.16
398.02, 49.60, 2.33, 402.23
408.53, 53.13, 2.18, 408.06
394.83, 55.74, 2.29, 404.31
418.56, 57.66, 2.21, 407.34
400.18, 52.73, 2.49, 408.71
414.85, 52.89, 2.27, 424.98
447.75, 62.66, 2.40, 436.02
432.49, 49.18, 2.34, 440.04
459.88, 59.82, 2.26, 455.86
495.71, 52.14, 2.25, 479.76
459.12, 50.25, 2.74, 444.90
451.03, 49.10, 2.41, 434.45
442.90, 563.77, 2.25, 939.00
444.15, 59.37, 3.42, 436.78
421.54, 49.25, 2.24, 423.20
418.51, 58.96, 2.33, 403.48
414.07, 62.74, 2.56, 405.31
435.86, 55.39, 2.13, 424.31
410.48, 54.22, 2.29, 410.90
436.49, 45.45, 2.06, 435.08
425.79, 46.85, 2.40, 434.10
436.37, 61.50, 2.82, 434.01
445.09, 51.48, 2.58, 431.99
439.12, 56.11, 2.35, 433.26
455.48, 55.93, 2.20, 434.04
441.54, 55.39, 2.25, 428.68
447.61, 52.18, 2.28, 432.27
432.07, 50.61, 2.29, 435.98
428.04, 47.65, 2.22, 429.87
439.45, 53.60, 2.21, 431.22
423.86, 48.31, 2.47, 430.65
396.70, 48.70, 2.26, 404.98
424.99, 56.89, 2.19, 403.15
433.38, 64.79, 2.24, 411.61
397.46, 46.50, 2.24, 406.20
421.63, 47.75, 2.63, 408.99
399.03, 48.78, 2.29, 409.08
392.64, 50.03, 2.22, 399.96
425.52, 56.10, 2.29, 401.26
398.41, 53.47, 2.15, 403.17
410.63, 57.76, 2.22, 402.53
407.29, 52.86, 2.23, 412.49
410.28, 56.30, 2.21, 400.64
398.33, 48.93, 2.33, 403.34
409.88, 55.18, 2.32, 410.15
399.45, 49.15, 2.19, 399.44
418.64, 55.64, 2.23, 397.79
415.64, 56.43, 2.25, 400.50
392.38, 46.13, 2.47, 401.59
402.43, 59.16, 2.21, 400.34
421.41, 54.02, 2.66, 400.13
404.14, 49.14, 2.17, 398.89
410.00, 45.64, 2.19, 402.56
397.87, 49.39, 2.21, 404.84
419.28, 59.93, 2.28, 403.56
390.45, 50.38, 2.41, 399.07
433.17, 59.34, 2.22, 419.30
392.08, 49.32, 2.20, 399.90
412.69, 56.53, 2.52, 405.75
424.04, 57.31, 2.33, 409.17
415.90, 46.92, 2.21, 407.09
425.68, 54.27, 2.29, 406.65
417.71, 52.39, 2.28, 406.74
414.42, 53.82, 2.29, 406.76
417.15, 57.36, 2.23, 407.57
399.67, 49.75, 2.20, 408.72
412.21, 51.21, 2.20, 401.82
395.25, 51.40, 2.18, 399.63
419.29, 56.41, 2.21, 406.89
409.36, 55.63, 2.41, 406.87
396.77, 49.73, 2.22, 398.17
406.13, 61.64, 2.60, 401.01
404.01, 51.24, 2.19, 401.90
396.58, 52.20, 2.24, 405.00
481.03, 51.66, 2.42, 461.92
431.35, 44.89, 2.18, 421.16
418.32, 50.33, 2.59, 406.07
409.81, 43.91, 2.31, 416.35
398.21, 54.51, 2.89, 404.91
422.70, 62.67, 2.22, 404.17
391.10, 48.97, 2.19, 399.09
407.47, 55.77, 2.97, 406.40
418.15, 58.40, 2.43, 402.29
415.15, 52.50, 2.22, 405.79
394.90, 52.48, 2.49, 400.70
417.04, 57.80, 2.28, 400.74
409.07, 43.02, 2.22, 405.04
